target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native32@C5,native32,c5,pooled_bias,1,right_fist,0.4830917874396135,0.41545893719806765,0.06763285024154586
native32@C5,native32,c5,pooled_bias,2,both_fists,0.6904761904761905,0.8095238095238095,0.11904761904761907
native32@C5,native32,c5,pooled_bias,3,both_feet,0.41545893719806765,0.4444444444444444,0.028985507246376774
native32@C5,native32,c5,topology_ridge,0,left_fist,0.46190476190476193,0.49047619047619045,0.028571428571428525
native32@C5,native32,c5,topology_ridge,1,right_fist,0.4830917874396135,0.463768115942029,0.019323671497584516
native32@C5,native32,c5,topology_ridge,2,both_fists,0.6904761904761905,0.6047619047619047,0.08571428571428574
native32@C5,native32,c5,topology_ridge,3,both_feet,0.41545893719806765,0.4251207729468599,0.009661835748792258
native32@C5,native32,c5,logit_ridge,0,left_fist,0.46190476190476193,0.38095238095238093,0.080952380952381
native32@C5,native32,c5,logit_ridge,1,right_fist,0.4830917874396135,0.42028985507246375,0.06280193236714976
native32@C5,native32,c5,logit_ridge,2,both_fists,0.6904761904761905,0.7476190476190476,0.05714285714285716
native32@C5,native32,c5,logit_ridge,3,both_feet,0.41545893719806765,0.43478260869565216,0.019323671497584516
native32@C5,native32,c5,combined_ridge,0,left_fist,0.46190476190476193,0.3952380952380952,0.06666666666666671
native32@C5,native32,c5,combined_ridge,1,right_fist,0.4830917874396135,0.41545893719806765,0.06763285024154586
native32@C5,native32,c5,combined_ridge,2,both_fists,0.6904761904761905,0.7380952380952381,0.04761904761904767
native32@C5,native32,c5,combined_ridge,3,both_feet,0.41545893719806765,0.4251207729468599,0.009661835748792258
native32@C5,native32,c5,oracle,0,left_fist,0.46190476190476193,0.3952380952380952,0.06666666666666671
native32@C5,native32,c5,oracle,1,right_fist,0.4830917874396135,0.42028985507246375,0.06280193236714976
native32@C5,native32,c5,oracle,2,both_fists,0.6904761904761905,0.7428571428571429,0.05238095238095242
native32@C5,native32,c5,oracle,3,both_feet,0.41545893719806765,0.42028985507246375,0.004830917874396101
